기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	합계	합계	10,010,983	4,877,725	5,133,258	1,485,272	656,595	828,677	1,478,664	653,108	825,556	6,608	3,487	3,121
2019	종로구	소계	161,869	78,215	83,654	27,519	12,162	15,357	27,318	12,049	15,269	201	113	88
2019	종로구	사직동	9,815	4,455	5,360	1,778	759	1,019	1,767	753	1,014	11	6	5
2019	종로구	삼청동	2,997	1,439	1,558	664	286	378	643	272	371	21	14	7
2019	종로구	부암동	10,551	5,045	5,506	1,762	776	986	1,756	772	984	6	4	2
2019	종로구	평창동	18,816	8,812	10,004	3,263	1,401	1,862	3,250	1,392	1,858	13	9	4
2019	종로구	무악동	8,740	4,078	4,662	1,413	597	816	1,413	597	816	-	-	-
2019	종로구	교남동	10,708	4,983	5,725	1,564	645	919	1,557	641	916	7	4	3
2019	종로구	가회동	4,488	2,084	2,404	919	381	538	913	376	537	6	5	1
2019	종로구	종로1.2.3.4가동	8,446	4,885	3,561	1,900	1,050	850	1,857	1,025	832	43	25	18
2019	종로구	종로5·6가동	5,839	3,173	2,666	1,117	537	580	1,115	537	578	2	-	2
2019	종로구	이화동	8,470	3,896	4,574	1,377	575	802	1,373	573	800	4	2	2
2019	종로구	창신1동	6,079	3,252	2,827	1,214	592	622	1,204	588	616	10	4	6
2019	종로구	창신2동	9,799	4,974	4,825	1,708	735	973	1,679	721	958	29	14	15
2019	종로구	창신3동	7,271	3,588	3,683	1,198	533	665	1,194	530	664	4	3	1
2019	종로구	숭인1동	6,532	3,196	3,336	1,159	505	654	1,154	503	651	5	2	3
2019	종로구	숭인2동	9,902	4,987	4,915	1,653	812	841	1,643	807	836	10	5	5
2019	종로구	청운효자동	12,981	6,076	6,905	2,202	912	1,290	2,178	899	1,279	24	13	11
2019	종로구	혜화동	20,435	9,292	11,143	2,628	1,066	1,562	2,622	1,063	1,559	6	3	3
2019	중구	소계	136,488	66,823	69,665	23,275	10,247	13,028	22,974	10,081	12,893	301	166	135
2019	중구	소공동	3,059	1,550	1,509	284	140	144	252	119	133	32	21	11
2019	중구	회현동	5,850	3,170	2,680	1,470	754	716	1,407	717	690	63	37	26
2019	중구	명동	3,567	1,573	1,994	750	276	474	721	261	460	29	15	14
2019	중구	필동	5,020	2,478	2,542	820	366	454	814	363	451	6	3	3
2019	중구	장충동	5,628	2,779	2,849	810	348	462	798	343	455	12	5	7
2019	중구	광희동	6,284	3,299	2,985	1,172	573	599	1,142	557	585	30	16	14
2019	중구	을지로동	2,007	1,202	805	489	279	210	478	273	205	11	6	5
2019	중구	신당5동	10,929	5,339	5,590	1,690	699	991	1,677	692	985	13	7	6
2019	중구	황학동	13,689	6,584	7,105	1,912	869	1,043	1,886	853	1,033	26	16	10
2019	중구	중림동	12,942	6,484	6,458	2,014	891	1,123	1,994	883	1,111	20	8	12
2019	중구	신당동	9,234	4,520	4,714	1,361	621	740	1,324	601	723	37	20	17
2019	중구	다산동	15,035	7,282	7,753	2,566	1,094	1,472	2,556	1,088	1,468	10	6	4
2019	중구	약수동	17,734	8,369	9,365	3,598	1,544	2,054	3,591	1,540	2,051	7	4	3
2019	중구	청구동	14,515	6,906	7,609	2,602	1,049	1,553	2,601	1,048	1,553	1	1	-
2019	중구	동화동	10,995	5,288	5,707	1,737	744	993	1,733	743	990	4	1	3
2019	용산구	소계	245,185	119,599	125,586	38,791	16,466	22,325	38,346	16,196	22,150	445	270	175
2019	용산구	후암동	18,445	8,987	9,458	3,005	1,214	1,791	2,976	1,196	1,780	29	18	11
2019	용산구	용산2가동	11,836	5,807	6,029	2,073	869	1,204	2,050	854	1,196	23	15	8
2019	용산구	남영동	8,412	5,061	3,351	1,611	948	663	1,592	938	654	19	10	9
2019	용산구	원효로2동	14,718	6,926	7,792	2,370	999	1,371	2,367	998	1,369	3	1	2
2019	용산구	효창동	10,300	4,921	5,379	1,421	593	828	1,416	589	827	5	4	1
2019	용산구	용문동	12,587	6,026	6,561	2,023	836	1,187	2,020	833	1,187	3	3	-
2019	용산구	이촌1동	29,255	13,756	15,499	4,412	1,839	2,573	4,370	1,809	2,561	42	30	12
2019	용산구	이촌2동	9,005	4,250	4,755	1,737	708	1,029	1,730	701	1,029	7	7	-
2019	용산구	이태원1동	9,222	4,842	4,380	1,580	603	977	1,545	587	958	35	16	19
2019	용산구	이태원2동	10,811	5,106	5,705	1,885	757	1,128	1,847	734	1,113	38	23	15
2019	용산구	서빙고동	14,102	6,811	7,291	2,060	850	1,210	2,028	827	1,201	32	23	9
2019	용산구	보광동	15,862	8,079	7,783	2,730	1,097	1,633	2,711	1,087	1,624	19	10	9
2019	용산구	청파동	20,661	9,669	10,992	3,300	1,348	1,952	3,277	1,339	1,938	23	9	14
2019	용산구	원효로1동	16,630	8,057	8,573	1,941	862	1,079	1,916	847	1,069	25	15	10
2019	용산구	한강로동	19,635	9,565	10,070	3,053	1,416	1,637	2,978	1,372	1,606	75	44	31
2019	용산구	한남동	23,704	11,736	11,968	3,590	1,527	2,063	3,523	1,485	2,038	67	42	25
2019	성동구	소계	308,979	150,861	158,118	43,947	19,181	24,766	43,796	19,100	24,696	151	81	70
2019	성동구	왕십리2동	17,744	8,627	9,117	2,483	1,076	1,407	2,476	1,071	1,405	7	5	2
2019	성동구	마장동	24,035	11,755	12,280	3,661	1,651	2,010	3,652	1,647	2,005	9	4	5
2019	성동구	사근동	13,543	6,721	6,822	1,453	627	826	1,446	622	824	7	5	2
2019	성동구	행당1동	16,463	7,966	8,497	2,324	1,021	1,303	2,320	1,019	1,301	4	2	2
2019	성동구	행당2동	24,640	11,580	13,060	3,575	1,513	2,062	3,572	1,512	2,060	3	1	2
2019	성동구	응봉동	16,188	7,674	8,514	2,456	1,018	1,438	2,456	1,018	1,438	-	-	-
2019	성동구	금호1가동	15,954	7,637	8,317	2,372	1,021	1,351	2,366	1,018	1,348	6	3	3
2019	성동구	금호4가동	15,227	7,305	7,922	2,222	915	1,307	2,218	913	1,305	4	2	2
2019	성동구	성수1가1동	17,168	8,606	8,562	2,079	946	1,133	2,068	940	1,128	11	6	5
2019	성동구	성수1가2동	14,735	7,320	7,415	1,943	877	1,066	1,937	875	1,062	6	2	4
2019	성동구	성수2가1동	17,722	9,213	8,509	2,736	1,241	1,495	2,722	1,232	1,490	14	9	5
2019	성동구	성수2가3동	11,682	5,971	5,711	1,768	840	928	1,758	834	924	10	6	4
2019	성동구	송정동	11,428	6,036	5,392	1,678	770	908	1,662	760	902	16	10	6
2019	성동구	용답동	13,290	6,962	6,328	2,124	967	1,157	2,103	958	1,145	21	9	12
2019	성동구	왕십리도선동	27,767	13,239	14,528	3,484	1,498	1,986	3,476	1,496	1,980	8	2	6
2019	성동구	금호2.3가동	24,171	11,503	12,668	3,783	1,571	2,212	3,777	1,568	2,209	6	3	3
2019	성동구	옥수동	27,222	12,746	14,476	3,806	1,629	2,177	3,787	1,617	2,170	19	12	7
2019	광진구	소계	366,972	176,917	190,055	47,902	21,360	26,542	47,681	21,249	26,432	221	111	110
2019	광진구	화양동	25,537	11,661	13,876	2,245	995	1,250	2,230	987	1,243	15	8	7
