기간	자치구	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	시설합계	시설수	종사자수	경로당	노인교실
2019	합계	3,942	85	2,104	3,466	391
2019	종로구	76	3	107	63	10
2019	중구	53	2	62	47	4
2019	용산구	111	2	42	88	21
2019	성동구	179	4	82	163	12
2019	광진구	108	1	63	97	10
2019	동대문구	152	1	45	135	16
2019	중랑구	142	5	136	126	11
2019	성북구	190	6	121	173	11
2019	강북구	117	1	35	99	17
2019	도봉구	149	5	112	135	9
2019	노원구	264	3	138	244	17
2019	은평구	180	7	167	156	17
2019	서대문구	126	4	40	110	12
2019	마포구	173	4	70	154	15
2019	양천구	197	4	69	164	29
2019	강서구	251	5	55	217	29
2019	구로구	219	2	38	197	20
2019	금천구	85	3	111	73	9
2019	영등포구	205	4	62	174	27
2019	동작구	156	3	115	139	14
2019	관악구	134	1	33	114	19
2019	서초구	152	3	115	140	9
2019	강남구	195	6	93	167	22
2019	송파구	190	3	87	170	17
2019	강동구	138	3	106	121	14
