기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2011	합계	10,528,774	5,208,492	5,320,282	1,049,425	455,302	594,123	1,044,750	453,055	591,695	4,675	2,247	2,428
2011	종로구	177,419	88,107	89,312	22,939	9,999	12,940	22,800	9,925	12,875	139	74	65
2011	중구	141,567	71,137	70,430	18,099	7,621	10,478	17,928	7,541	10,387	171	80	91
2011	용산구	259,288	126,735	132,553	31,837	13,333	18,504	31,623	13,211	18,412	214	122	92
2011	성동구	308,767	154,511	154,256	32,767	14,032	18,735	32,659	13,984	18,675	108	48	60
2011	광진구	386,673	190,867	195,806	33,613	14,878	18,735	33,418	14,777	18,641	195	101	94
2011	동대문구	378,534	189,538	188,996	44,368	19,559	24,809	44,229	19,493	24,736	139	66	73
2011	중랑구	428,672	214,258	214,414	43,745	19,079	24,666	43,676	19,050	24,626	69	29	40
2011	성북구	494,422	243,639	250,783	55,213	23,805	31,408	55,083	23,747	31,336	130	58	72
2011	강북구	348,740	172,309	176,431	43,507	19,136	24,371	43,453	19,109	24,344	54	27	27
2011	도봉구	367,949	181,911	186,038	39,810	17,324	22,486	39,781	17,313	22,468	29	11	18
2011	노원구	608,062	297,308	310,754	58,642	23,425	35,217	58,584	23,402	35,182	58	23	35
2011	은평구	498,350	244,730	253,620	56,595	24,669	31,926	56,485	24,620	31,865	110	49	61
2011	서대문구	324,529	158,160	166,369	40,041	16,968	23,073	39,740	16,828	22,912	301	140	161
2011	마포구	398,627	193,539	205,088	42,610	18,076	24,534	42,396	17,983	24,413	214	93	121
2011	양천구	505,605	251,346	254,259	41,110	17,284	23,826	41,004	17,226	23,778	106	58	48
2011	강서구	575,846	283,662	292,184	52,314	22,089	30,225	52,152	22,000	30,152	162	89	73
2011	구로구	458,908	232,056	226,852	41,992	18,912	23,080	41,450	18,662	22,788	542	250	292
2011	금천구	264,256	135,604	128,652	25,089	11,183	13,906	24,761	11,010	13,751	328	173	155
2011	영등포구	439,555	221,913	217,642	43,891	19,587	24,304	43,215	19,260	23,955	676	327	349
2011	동작구	413,658	203,341	210,317	44,287	19,468	24,819	44,132	19,403	24,729	155	65	90
2011	관악구	546,350	276,675	269,675	53,022	23,895	29,127	52,725	23,754	28,971	297	141	156
2011	서초구	439,012	212,636	226,376	39,035	17,751	21,284	38,933	17,705	21,228	102	46	56
2011	강남구	573,003	275,906	297,097	47,187	20,801	26,386	47,041	20,731	26,310	146	70	76
2011	송파구	690,466	338,344	352,122	55,456	24,234	31,222	55,316	24,168	31,148	140	66	74
2011	강동구	500,516	250,260	250,256	42,256	18,194	24,062	42,166	18,153	24,013	90	41	49
