기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	합계	합계	10,575,447	5,236,742	5,338,705	1,002,770	433,322	569,448
2010	종로구	소계	179,362	89,252	90,110	22,311	9,724	12,587
2010	종로구	사직동	10,668	5,073	5,595	1,524	645	879
2010	종로구	삼청동	3,706	1,810	1,896	587	252	335
2010	종로구	부암동	11,648	5,751	5,897	1,534	710	824
2010	종로구	평창동	19,921	9,573	10,348	2,488	1,043	1,445
2010	종로구	무악동	8,754	4,202	4,552	1,045	447	598
2010	종로구	교남동	9,324	4,590	4,734	1,251	547	704
2010	종로구	가회동	5,857	2,812	3,045	874	361	513
2010	종로구	종로1.2.3.4가동	9,155	5,225	3,930	1,494	758	736
2010	종로구	종로5·6가동	6,640	3,519	3,121	886	404	482
2010	종로구	이화동	9,991	4,819	5,172	1,082	436	646
2010	종로구	혜화동	12,996	6,270	6,726	1,360	582	778
2010	종로구	명륜3가동	7,221	3,750	3,471	845	357	488
2010	종로구	창신1동	8,664	4,417	4,247	927	426	501
2010	종로구	창신2동	12,365	6,253	6,112	1,381	579	802
2010	종로구	창신3동	8,790	4,385	4,405	921	391	530
2010	종로구	숭인1동	8,216	4,097	4,119	835	365	470
2010	종로구	숭인2동	9,554	4,981	4,573	1,275	591	684
2010	종로구	청운효자동	15,892	7,725	8,167	2,002	830	1,172
2010	중구	소계	141,200	70,908	70,292	17,315	7,335	9,980
2010	중구	소공동	1,658	914	744	147	62	85
2010	중구	회현동	6,394	3,539	2,855	1,077	526	551
2010	중구	명동	4,140	1,969	2,171	576	206	370
2010	중구	필동	5,241	2,754	2,487	691	287	404
2010	중구	장충동	6,200	3,108	3,092	688	301	387
2010	중구	광희동	6,813	3,592	3,221	859	396	463
2010	중구	을지로동	2,123	1,306	817	383	199	184
2010	중구	신당1동	10,326	5,189	5,137	1,031	437	594
2010	중구	신당2동	17,143	8,426	8,717	1,950	817	1,133
2010	중구	신당3동	19,893	9,620	10,273	2,545	1,052	1,493
2010	중구	신당4동	16,373	7,884	8,489	1,961	789	1,172
2010	중구	신당5동	8,470	4,298	4,172	1,067	422	645
2010	중구	신당6동	9,804	4,826	4,978	1,101	455	646
2010	중구	황학동	13,541	6,893	6,648	1,455	610	845
2010	중구	중림동	13,081	6,590	6,491	1,784	776	1,008
2010	용산구	소계	257,143	125,832	131,311	30,770	12,918	17,852
2010	용산구	후암동	20,907	10,428	10,479	2,460	1,022	1,438
2010	용산구	용산2가동	14,340	7,054	7,286	1,736	696	1,040
2010	용산구	남영동	8,442	4,925	3,517	1,151	613	538
2010	용산구	원효로2동	16,436	7,848	8,588	1,787	710	1,077
2010	용산구	효창동	11,532	5,602	5,930	1,330	558	772
2010	용산구	용문동	13,603	6,689	6,914	1,514	651	863
2010	용산구	이촌1동	28,935	13,654	15,281	3,289	1,370	1,919
2010	용산구	이촌2동	10,665	5,122	5,543	1,418	546	872
2010	용산구	이태원1동	10,685	5,097	5,588	1,386	523	863
2010	용산구	이태원2동	11,817	5,628	6,189	1,736	718	1,018
2010	용산구	서빙고동	11,927	5,748	6,179	1,702	724	978
2010	용산구	보광동	19,336	9,404	9,932	2,228	924	1,304
2010	용산구	청파동	24,895	12,071	12,824	2,626	1,093	1,533
2010	용산구	원효로1동	11,254	5,644	5,610	1,214	524	690
2010	용산구	한강로동	16,929	8,504	8,425	2,263	1,018	1,245
2010	용산구	한남동	25,440	12,414	13,026	2,930	1,228	1,702
2010	성동구	소계	316,892	158,771	158,121	31,989	13,648	18,341
2010	성동구	왕십리2동	19,161	9,539	9,622	1,943	839	1,104
2010	성동구	마장동	26,341	13,241	13,100	2,651	1,100	1,551
2010	성동구	사근동	11,629	6,117	5,512	1,189	544	645
2010	성동구	행당1동	18,578	9,146	9,432	1,955	826	1,129
2010	성동구	행당2동	26,060	12,529	13,531	2,397	991	1,406
2010	성동구	응봉동	17,670	8,497	9,173	1,837	796	1,041
2010	성동구	금호1가동	16,218	7,909	8,309	1,780	718	1,062
2010	성동구	금호4가동	15,550	7,645	7,905	1,637	673	964
2010	성동구	성수1가1동	19,041	9,807	9,234	1,500	659	841
