번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
1,하늘정원실버케어,서울특별시 서대문구 홍제동 361-57번지 ,,20091130,운영중,,,,,,,18,9,13,194303.954462       ,453593.870967       ,운영
2,삼성요양원,서울특별시 관악구 신림동 ,,20160127,운영중,,,,,,,13,4,5,,,운영
3,사랑가득 요양원,서울특별시 금천구 독산동 영재빌딩 ,,20161101,운영중,,,,,,,43,,21,,,운영
4,상계요양원,서울특별시 노원구 상계동 ,,20170613,운영중,,,,,,,82,,48,,,운영
5,A+도봉재활요양원,서울특별시 도봉구 방학동 ,,20150521,운영중,,,,,,,41,21,3,,,운영
6,종로시니어스타워,서울특별시 종로구 홍지동 ,,20150817,운영중,,,,,,,77,17,17,,,운영
7,상봉요양원요양센터,서울특별시 중랑구 망우동 ,,20150731,운영중,,,,,,,54,25,9,,,운영
8,둥지요양원,서울특별시 성북구 하월곡동 1호,,20160428,운영중,,,,,,,20,,,,,운영
9,마더노인요양센터,서울특별시 강동구 길동 ,,20161209,운영중,,,,,,,29,4,1,,,운영
10,한가람요양원,서울특별시 강서구 등촌동 ,,20170213,운영중,,,,,,,20,,,,,운영
11,다애요양원,"서울특별시 성북구 돈암동 한진아파트스포츠센터동 5305,5306호",,20170317,운영중,,,,,,,36,,,,,운영
12,다사랑요양원,서울특별시 도봉구 도봉동 ,,20150921,운영중,,,,,,,60,,,,,운영
13,효림노인요양센터,서울특별시 서대문구 충정로3가 1-38번지 ,,20071203,운영중,,,,,,,21,14,16,196474.724821       ,451340.706886       ,운영
14,사랑요양원,서울특별시 구로구 고척동 ,,20160425,운영중,,,,,,,9,,,,,
15,영지요양원,서울특별시 중랑구 면목동 ,,20160825,운영중,,,,,,,37,,,,,운영
16,은평실버랜드요양원,서울특별시 은평구 갈현동 ,,20160704,운영중,,,,,,,34,19,3,,,운영
17,신월실버요양원,서울특별시 양천구 신월동 ,,20160901,운영중,,,,,,,75,,6,,,운영
18,서울숲요양원,서울특별시 관악구 신림동 ,,20161020,운영중,,,,,,,99,,,,,운영
19,나이팅게일너싱홈,서울특별시 동작구 사당동 ,,20161107,운영중,,,,,,,22,,,,,
20,실버캐슬요양타운,서울특별시 양천구 신월동 ,,20170301,운영중,,,,,,,49,,33,,,운영
21,경복궁요양센터,서울특별시 송파구 마천동 ,,20170310,운영중,,,,,,,46,,32,,,운영
22,강북실버종합복지센터,서울특별시 강북구 미아동 ,,20130516,운영중,,,,,,,112,,7,,,운영
23,푸른요양원1호점,서울특별시 강북구 수유동 ,,20100716,운영중,,,,,,,27,1,3,,,운영
24,푸른요양원,서울특별시 강북구 수유동 47-11번지 ,,20100720,운영중,,,,,,,0,,,201748.6543         ,459171.523298       ,운영
25,효심노인복지센터,서울특별시 강북구 수유동 482-65번지 5층 및 지층 ,,20100303,운영중,,,,,,,21,1,8,201439.042815       ,458572.67638        ,운영
26,행복한노인요양원,서울특별시 강북구 수유동 47-52번지 2층 ,,20100301,운영중,,,,,,,36,2,8,201704.450479       ,459149.604395       ,운영
27,수유요양원,서울특별시 강북구 수유동 338-5번지 4층 ,,20100301,운영중,,,,,,,15,1,9,201415.810113       ,460024.404016       ,운영
28,민영요양센터,서울특별시 강북구 미아동 703-13번지 유유빌딩 501호 ,,20100301,운영중,,,,,,,18,1,9,201807.838931       ,457546.401262       ,운영
29,거목노인요양원(3),서울특별시 강북구 수유동 273-64번지 3층 ,,20100301,운영중,,,,,,,19,1,6,201396.354357       ,460584.002573       ,운영
30,e-포근한 요양원,서울특별시 강북구 미아동 189-6번지 ,,20090105,운영중,,,,,,,25,0,0,202061.252065       ,458882.073021       ,운영
