기간	자치구	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	서울시	254,538	96,595	1,890	5,878	91,892	38,168	1,042	19,073	217,444	85,465	1,580	4,872	77,121	33,223	850	14,333
2019	종로구	4,881	2,316	100	149	370	70	-	1,876	3,581	1,747	46	90	294	51	-	1,353
2019	중구	4,459	2,033	-	378	344	205	-	1,499	3,512	1,692	-	310	271	198	-	1,041
2019	용산구	5,221	1,970	89	335	1,136	904	33	754	4,610	1,776	77	293	1,013	813	30	608
2019	성동구	8,113	4,613	-	202	1,790	1,174	-	334	7,005	4,012	-	147	1,531	1,083	-	232
2019	광진구	8,329	2,764	-	20	4,358	1,006	49	132	7,080	2,510	-	17	3,574	857	32	90
2019	동대문구	8,892	3,676	-	204	3,154	1,473	-	385	7,568	3,260	-	154	2,591	1,280	-	283
2019	중랑구	10,973	3,684	-	325	5,232	1,474	26	232	9,425	3,195	-	287	4,408	1,341	24	170
2019	성북구	10,661	4,467	109	897	3,097	1,764	50	277	9,039	3,791	98	794	2,558	1,561	36	201
2019	강북구	7,985	2,781	74	119	4,354	529	27	101	6,823	2,480	64	93	3,681	418	23	64
2019	도봉구	9,439	2,903	33	67	4,609	1,634	29	164	7,747	2,675	26	54	3,512	1,316	29	135
2019	노원구	12,459	4,837	208	-	3,011	4,013	30	360	10,609	4,285	170	-	2,508	3,352	28	266
2019	은평구	13,390	3,616	-	356	8,127	1,114	39	138	11,118	3,201	-	299	6,646	853	23	96
2019	서대문구	6,937	3,124	-	82	2,447	731	29	524	6,169	2,830	-	73	2,138	693	21	414
2019	마포구	9,365	4,458	-	227	2,376	1,312	153	839	8,081	3,868	-	178	2,105	1,210	145	575
2019	양천구	11,908	4,733	-	63	4,144	2,620	16	332	9,966	4,063	-	59	3,378	2,182	16	268
2019	강서구	17,195	4,739	272	233	7,595	3,256	148	952	14,775	4,196	248	203	6,427	2,827	114	760
2019	구로구	13,058	4,597	299	432	4,734	2,372	98	526	11,436	4,237	279	366	3,980	2,123	97	354
2019	금천구	7,801	2,944	223	645	2,789	776	-	424	6,424	2,551	205	518	2,161	676	-	313
2019	영등포구	12,014	4,008	123	70	3,375	1,558	-	2,880	10,347	3,629	98	40	2,886	1,394	-	2,300
2019	동작구	9,374	3,968	103	101	3,396	1,487	49	270	8,173	3,494	86	91	2,908	1,309	40	245
2019	관악구	11,123	4,644	91	455	3,711	1,583	16	623	9,149	4,094	28	342	2,906	1,280	9	490
2019	서초구	10,424	4,998	-	237	2,101	1,006	82	2,000	9,001	4,499	-	210	1,794	953	60	1,485
2019	강남구	10,904	4,868	-	-	3,107	1,081	69	1,779	9,010	4,198	-	-	2,639	909	47	1,217
2019	송파구	16,979	5,606	79	116	6,707	3,104	79	1,288	15,611	5,238	73	110	6,145	2,904	57	1,084
2019	강동구	12,654	4,248	87	165	5,828	1,922	20	384	11,185	3,944	82	144	5,067	1,640	19	289
