기간	행정구역별	성별	계	0세	1세	2세	3세	4세	5세	6세	7세	8세	9세	10세	11세	12세	13세	14세	15세	16세	17세	18세	19세	20세	21세	22세	23세	24세	25세	26세	27세	28세	29세	30세	31세	32세	33세	34세	35세	36세	37세	38세	39세	40세	41세	42세	43세	44세	45세	46세	47세	48세	49세	50세	51세	52세	53세	54세	55세	56세	57세	58세	59세	60세	61세	62세	63세	64세	65세	66세	67세	68세	69세	70세	71세	72세	73세	74세	75세	76세	77세	78세	79세	80세	81세	82세	83세	84세	85세	86세	87세	88세	89세	90세	91세	92세	93세	94세	95세	96세	97세	98세	99세	100세 이상
2015	합계	계	10,022,181	77,668	78,187	76,152	83,046	78,850	78,745	74,176	78,271	82,452	75,752	73,327	81,332	84,334	84,511	94,302	110,050	106,085	110,951	117,610	123,288	130,443	134,941	138,448	148,442	151,509	144,425	146,554	150,747	149,027	152,685	157,894	157,246	173,624	183,750	183,947	179,349	174,632	146,834	157,347	153,630	155,619	167,735	173,327	176,759	186,030	179,882	177,490	173,191	162,165	149,411	159,261	158,739	151,820	163,569	169,115	175,117	164,327	153,273	153,251	139,861	147,472	124,636	110,051	119,334	83,747	93,155	94,226	93,095	95,131	76,905	67,767	68,503	67,211	79,812	64,075	54,571	53,650	46,780	42,051	37,947	35,347	29,561	24,918	22,301	18,218	16,418	14,925	12,640	10,555	7,918	6,413	5,107	5,055	3,825	2,812	2,154	1,540	1,090	950	773	5,037
2015	합계	남자	4,930,943	39,785	40,119	39,031	42,625	40,400	40,483	37,853	40,253	42,200	39,048	37,817	41,873	43,578	43,704	48,925	57,275	55,076	57,793	60,658	63,342	66,764	68,816	70,691	74,306	74,740	72,088	71,955	74,896	72,875	76,069	78,518	78,451	87,528	92,140	93,279	90,547	86,951	74,911	77,725	77,607	77,490	84,905	85,811	88,930	93,564	89,636	88,470	85,486	78,489	76,792	78,263	78,635	75,556	81,372	81,987	83,744	79,327	74,129	73,958	66,946	69,607	60,046	52,410	57,089	39,946	44,534	44,515	44,198	44,533	36,001	31,955	32,276	31,423	37,855	29,915	24,918	24,116	20,512	17,856	15,771	14,057	11,224	9,178	7,822	5,962	5,004	4,596	3,564	2,850	2,005	1,534	1,357	1,405	972	717	601	440	274	239	188	1,293
2015	합계	여자	5,091,238	37,883	38,068	37,121	40,421	38,450	38,262	36,323	38,018	40,252	36,704	35,510	39,459	40,756	40,807	45,377	52,775	51,009	53,158	56,952	59,946	63,679	66,125	67,757	74,136	76,769	72,337	74,599	75,851	76,152	76,616	79,376	78,795	86,096	91,610	90,668	88,802	87,681	71,923	79,622	76,023	78,129	82,830	87,516	87,829	92,466	90,246	89,020	87,705	83,676	72,619	80,998	80,104	76,264	82,197	87,128	91,373	85,000	79,144	79,293	72,915	77,865	64,590	57,641	62,245	43,801	48,621	49,711	48,897	50,598	40,904	35,812	36,227	35,788	41,957	34,160	29,653	29,534	26,268	24,195	22,176	21,290	18,337	15,740	14,479	12,256	11,414	10,329	9,076	7,705	5,913	4,879	3,750	3,650	2,853	2,095	1,553	1,100	816	711	585	3,744
2015	종로구	계	154,986	817	860	815	980	881	964	894	984	1,063	998	963	1,085	1,242	1,227	1,395	1,672	1,541	1,609	1,751	2,062	2,171	2,074	2,205	2,425	2,584	2,459	2,375	2,400	2,285	2,294	2,308	2,120	2,314	2,272	2,384	2,257	2,263	1,831	2,035	2,042	2,115	2,384	2,615	2,694	3,006	2,887	2,793	2,746	2,639	2,409	2,617	2,642	2,487	2,691	2,764	2,796	2,588	2,401	2,388	2,193	2,420	2,000	1,767	1,962	1,329	1,505	1,581	1,565	1,679	1,349	1,282	1,282	1,357	1,590	1,328	1,128	1,155	976	853	841	761	650	555	472	423	351	321	294	237	197	147	124	117	115	85	75	47	40	33	28	209
2015	종로구	남자	76,548	409	436	417	526	440	497	474	509	547	526	507	569	659	627	730	899	759	823	928	1,056	1,072	960	1,121	1,236	1,377	1,267	1,209	1,272	1,170	1,175	1,156	1,070	1,193	1,137	1,194	1,101	1,137	897	963	1,030	1,038	1,154	1,248	1,354	1,527	1,405	1,381	1,374	1,258	1,204	1,352	1,365	1,277	1,424	1,366	1,369	1,337	1,236	1,235	1,061	1,222	987	884	965	621	702	740	730	764	633	564	552	645	743	596	518	514	427	361	377	338	257	204	189	145	118	116	103	79	64	47	37	38	45	32	29	19	15	9	8	71
2015	종로구	여자	78,438	408	424	398	454	441	467	420	475	516	472	456	516	583	600	665	773	782	786	823	1,006	1,099	1,114	1,084	1,189	1,207	1,192	1,166	1,128	1,115	1,119	1,152	1,050	1,121	1,135	1,190	1,156	1,126	934	1,072	1,012	1,077	1,230	1,367	1,340	1,479	1,482	1,412	1,372	1,381	1,205	1,265	1,277	1,210	1,267	1,398	1,427	1,251	1,165	1,153	1,132	1,198	1,013	883	997	708	803	841	835	915	716	718	730	712	847	732	610	641	549	492	464	423	393	351	283	278	233	205	191	158	133	100	87	79	70	53	46	28	25	24	20	138
2015	중구	계	125,733	842	861	830	906	856	838	720	750	855	721	647	765	708	729	789	1,021	947	1,040	1,168	1,291	1,407	1,517	1,629	1,897	1,886	1,817	1,812	1,950	1,788	1,965	1,974	2,043	2,167	2,257	2,286	2,182	2,126	1,825	1,892	1,855	1,871	2,042	1,968	2,078	2,237	2,131	2,174	2,135	1,971	1,829	1,987	2,025	1,992	2,195	2,299	2,429	2,225	2,137	2,149	2,038	1,993	1,742	1,573	1,671	1,202	1,342	1,346	1,306	1,391	1,095	1,017	1,051	1,059	1,255	1,101	873	878	795	659	697	592	516	486	378	334	314	290	223	204	139	106	108	103	74	50	47	32	31	26	26	137
2015	중구	남자	62,687	425	433	438	462	439	426	363	369	427	352	327	377	347	375	421	548	477	533	571	642	720	762	822	980	920	953	921	977	920	1,014	1,004	1,008	1,107	1,136	1,202	1,116	1,076	952	970	951	958	1,081	1,043	1,080	1,208	1,095	1,165	1,092	1,018	1,016	968	1,004	1,027	1,146	1,206	1,240	1,160	1,028	1,108	1,037	977	904	791	802	607	669	651	632	660	464	476	494	477	564	491	392	407	330	248	308	220	191	159	122	102	110	91	70	60	39	30	37	30	19	18	17	11	14	8	12	40
2015	중구	여자	63,046	417	428	392	444	417	412	357	381	428	369	320	388	361	354	368	473	470	507	597	649	687	755	807	917	966	864	891	973	868	951	970	1,035	1,060	1,121	1,084	1,066	1,050	873	922	904	913	961	925	998	1,029	1,036	1,009	1,043	953	813	1,019	1,021	965	1,049	1,093	1,189	1,065	1,109	1,041	1,001	1,016	838	782	869	595	673	695	674	731	631	541	557	582	691	610	481	471	465	411	389	372	325	327	256	232	204	199	153	144	100	76	71	73	55	32	30	21	17	18	14	97
2015	용산구	계	233,342	1,744	1,701	1,751	1,840	1,760	1,637	1,576	1,626	1,771	1,561	1,593	1,707	1,599	1,723	1,926	2,181	2,198	2,179	2,376	2,362	2,699	2,809	2,844	3,151	3,221	3,165	3,220	3,326	3,436	3,580	3,594	3,731	4,077	4,360	4,409	4,374	3,986	3,469	3,586	3,601	3,702	3,931	4,020	4,408	4,425	4,319	4,327	4,041	3,746	3,364	3,656	3,701	3,631	3,820	3,853	3,967	3,780	3,467	3,538	3,347	3,369	2,943	2,542	2,722	1,922	2,223	2,252	2,319	2,337	1,882	1,767	1,804	1,832	2,218	1,822	1,554	1,570	1,493	1,356	1,253	1,092	973	792	706	617	554	508	416	356	273	249	188	176	140	94	72	61	47	34	33	289
