장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1,부암1리 경로당,충청남도,금산군,44710,충청남도 금산군 진산면 뜬바우길 12,,36.1466275,127.3954918,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,"천내1,3리 경로당",충청남도,금산군,44710,충청남도 금산군 제원면 금강로 334,,36.1121529,127.5701524628,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,동곡1리 경로당,충청남도,금산군,44710,충청남도 금산군 제원면 동곡길 28,,36.1362882,127.5468224485,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,태안 노인복지회관,충청남도,태안군,44825,충청남도 태안군 태안읍 후곡로 79,충청남도 태안군 태안읍 남문리 712-13,36.745990767,126.30167134,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
2,장애인종합복지관,전라남도,광양시,46230,전라남도 광양시 광양읍 대림오성로 117,,34.96518909,127.5743592,30,전라남도 광양시,061-797-2297,광양경찰서,N,0,7~11,2020-03-23,4840000,전라남도 광양시
1,노인전문요양병원,전라남도,광양시,46230,전라남도 광양시 옥곡면 대치로 326-13,,35.00460253,127.664381,30,전라남도 광양시,061-797-2297,광양경찰서,N,0,7~11,2020-03-23,4840000,전라남도 광양시
1,광양칠성노인요양원,전라남도,광양시,46230,전라남도 광양시 광양읍 서북4길 31,,34.97314343,127.5772192,30,전라남도 광양시,061-797-2297,광양경찰서,N,0,7~11,2020-03-23,4840000,전라남도 광양시
1,중마복지회관,전라남도,광양시,46230,전라남도 광양시 중동로 50,,34.940964,127.694062,30,전라남도 광양시,061-797-2297,광양경찰서,N,0,7~11,2020-03-23,4840000,전라남도 광양시
1,광양노인복지회관,전라남도,광양시,46230,전라남도 광양시 광양읍 백운로 8-3,,34.970546,127.5910727,30,전라남도 광양시,061-797-2297,광양경찰서,N,0,7~11,2020-03-23,4840000,전라남도 광양시
1,삭선4리 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 원이로 372-6,충청남도 태안군 태안읍 삭선리 256-31,36.7867050971,126.2726564,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,창기2리 경로당,충청남도,태안군,44825,충청남도 태안군 안면읍 황도로 193,충청남도 태안군 안면읍 창기리 220-109,36.5902608160,126.3429415,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,도내1리 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 상도로 474,충청남도 태안군 태안읍 도내리 649-1,36.790415382,126.33767103,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,남문2리 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 백화로 27,충청남도 태안군 태안읍 남문리 352-7,36.7580039,126.2936158,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,당산4리 경로당,충청남도,태안군,44825,충청남도 태안군 이원면 사관로 524,충청남도 태안군 이원면 당산리 104,36.8862373,126.3151287,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,당산1리 경로당,충청남도,태안군,44825,충청남도 태안군 이원면 원이로 1678-1,충청남도 태안군 이원면 당산리 1010-7,36.8794236561,126.2881739023,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,정당2리 경로당,충청남도,태안군,44825,충청남도 태안군 안면읍 여수해길 6,충청남도 태안군 안면읍 정당리 394-3,36.545149802,126.35610175,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,원용 경로당,충청남도,태안군,44825,충청남도 태안군 근흥면 용도로 410,충청남도 태안군 근흥면 용신리 686-4,36.7046530152,126.2277725709,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,삼호그린 삭선6리 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 백교길 51,충청남도 태안군 태안읍 삭선리 763-9,36.7766182365,126.2764533,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,산후2리 다목적회관,충청남도,태안군,44825,충청남도 태안군 태안읍 진벌로 114,충청남도 태안군 태안읍 산후리 712-8,36.7811638406,126.2891240112,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,정당1리 다목적회관,충청남도,태안군,44825,충청남도 태안군 안면읍 안면대로 2565,충청남도 태안군 안면읍 정당리 657-3,36.5405377162,126.3564214121,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,신두2리 다목적회관,충청남도,태안군,44825,충청남도 태안군 원북면 신두로 324-1,충청남도 태안군 원북면 신두리 431-4,36.8316460856,126.2134859790,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,산후1리 다목적회관,충청남도,태안군,44825,충청남도 태안군 태안읍 밤나무길 390,충청남도 태안군 태안읍 산후리 404,36.7909469685,126.2965725,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,어은1리 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 진벌로 527,충청남도 태안군 태안읍 어은리 229-5,36.8006254102,126.3227386369,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,삭선5리 부경파크빌 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 원이로 302,충청남도 태안군 태안읍 삭선리 281-5,36.7835498472,126.2771466048,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,삭선2리 다목적회관,충청남도,태안군,44825,충청남도 태안군 태안읍 진벌로 11,충청남도 태안군 태안읍 삭선리 684-9,36.7737200108,126.2823765,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,반계3리 마을회관,충청남도,태안군,44825,충청남도 태안군 원북면 옥파로 194,충청남도 태안군 원북면 반계리 277-17,36.8315058105,126.2429594497,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,방갈1리 마을회관,충청남도,태안군,44825,충청남도 태안군 원북면 방갈리 182-4,충청남도 태안군 원북면 방갈리 182-4,36.8800308855,126.2157268889,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,"이곡1, 2리 경로당",충청남도,태안군,44825,충청남도 태안군 원북면 샛말길 148,충청남도 태안군 원북면 이곡리 771-4,36.8518152056,126.2360556,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,안기1리 경로당,충청남도,태안군,44825,충청남도 태안군 근흥면 근흥로 436,충청남도 태안군 근흥면 안기리 874-3,36.7361586,126.2411830897,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,장산1리 경로당,충청남도,태안군,44825,충청남도 태안군 태안읍 장산리 590,충청남도 태안군 태안읍 근흥로 7,36.7988275,126.2564222,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,대기2리 경로당,충청남도,태안군,44825,충청남도 태안군 원북면 대기길 18-1,충청남도 태안군 원북면 대기리 25-3,36.7988275,126.2564222,30,태안군,041-670-2719,태안경찰서,N,,3,2020-02-07,4620000,충청남도 태안군
1,나눔과 사랑의 집,충청남도,금산군,44710,충청남도 금산군 금성면 화림월곡길 11-4,,36.1217194,127.442025,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,섬김요양원,충청남도,금산군,44710,충청남도 금산군 복수면 복수로 450,,36.1855259410,127.378668,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,다락원,충청남도,금산군,44710,충청남도 금산군 금산읍 금산로 1559,,36.1120675408,127.4916373249,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,금산효사랑병원,충청남도,금산군,44710,충청남도 금산군 남일면 무금로 2145,,36.0828285883,127.505523,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,양평종합사회복지관,경기도,양평군,41830,경기도 양평군 용문면 용문역길 67,경기도 양평군 용문면 다문리 793-8,37.48055357,127.5892491067,30,양평군청,031-770-3755,양평경찰서,Y,1,12,2020-03-01,4170000,경기도 양평군
1,목소리 경로당,충청남도,금산군,44710,충청남도 금산군 복수면 도랜말길 4,,36.1768130936,127.411452,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,신평1리 경로당,충청남도,금산군,44710,충청남도 금산군 추부면 신평길 12-14,,36.2262863,127.506534,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,신평2리 경로당,충청남도,금산군,44710,충청남도 금산군 추부면 신평1길 59,,36.2294395561,127.507187,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,산안1리 경로당,충청남도,금산군,44710,충청남도 금산군 군북면 산꽃로 438,,36.1941598,127.5537666561,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,구석1리 경로당,충청남도,금산군,44710,충청남도 금산군 남이면 모티길 48,,36.0169030634,127.476443,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,읍내3리 경로당,충청남도,금산군,44710,충청남도 금산군 진산면 방축길 23,,36.1469178,127.377052,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,명곡1리 경로당,충청남도,금산군,44710,충청남도 금산군 제원면 구상2길 18,,36.1415861767,127.533272,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,마전5리 경로당,충청남도,금산군,44710,충청남도 금산군 추부면 다복로 619,,36.1853118869,127.4527675467,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,원동 경로당,충청남도,금산군,44710,충청남도 금산군 남일면 원동길 8,,36.0069148,127.5229949034,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,구례1리 경로당,충청남도,금산군,44710,충청남도 금산군 복수면 복수로 660,,36.2016226,127.379393,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,벌넘어경로당,충청남도,금산군,44710,충청남도 금산군 남일면 벌넘어길 32,,36.0224131,127.4851602147,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,신천2리 경로당,충청남도,금산군,44710,충청남도 금산군 남일면 양대길 18,,36.0290292,127.496398,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,교촌1리 경로당,충청남도,금산군,44710,충청남도 금산군 진산면 대둔산로 539,,36.1513149,127.382921,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,서대1리대동경로당(통합지정),충청남도,금산군,44710,충청남도 금산군 추부면 서대수통1길 65-3,,36.2146667483,127.5207243,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,읍내1리 경로당,충청남도,금산군,44710,충청남도 금산군 진산면 대둔산로 377,,36.14237753,127.3690515,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,행정2리 경로당,충청남도,금산군,44710,충청남도 금산군 진산면 태고사로 587,,36.1620571,127.323673,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,행정1리 경로당,충청남도,금산군,44710,충청남도 금산군 진산면 살구정길 71,,36.1590509,127.330337,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,역평1리 경로당,충청남도,금산군,44710,충청남도 금산군 남이면 상역평길 17,,36.0611414,127.409858,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,홍도리 경로당,충청남도,금산군,44710,충청남도 금산군 남일면 대홍로 632-8,,36.0171101,127.518054,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,두두2리경로당,충청남도,금산군,44710,충청남도 금산군 군북면 군북로 701,,36.1664115,127.526031,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,조정리 경로당,충청남도,금산군,44710,충청남도 금산군 군북면 조정길 15,,36.1932736,127.522964,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,천을리 경로당,충청남도,금산군,44710,충청남도 금산군 군북면 군북로 602,,36.1583713,127.529474,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,지암 경로당,충청남도,금산군,44710,충청남도 금산군 남이면 느티골길 16,,36.0804415,127.3693205,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,일양 경로당,충청남도,금산군,44710,충청남도 금산군 남이면 휴양림로 1550-2,,36.0865572,127.360239,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
1,건천1리 경로당,충청남도,금산군,44710,충청남도 금산군 남이면 휴양림로 1299,,36.0768034,127.378199,30,충청남도 금산군,041-750-2713,금산경찰서,N,0,,2019-12-03,4550000,충청남도 금산군
