기간	자치구	합계	합계	합계	합계	노인요양시설	노인요양시설	노인요양시설	노인요양시설	노인요양 공동 생활가정	노인요양 공동 생활가정	노인요양 공동 생활가정	노인요양 공동 생활가정
기간	자치구	시설수	입소인원	입소인원	종사자수	시설수	입소인원	입소인원	종사자수	시설수	입소인원	입소인원	종사자수
기간	자치구	시설수	정원	현원	종사자수	시설수	정원	현원	종사자수	시설수	정원	현원	종사자수
2016	합계	526	15,117	14,230	9,521	196	12,219	11,449	7,538	330	2,898	2,781	1,983
2016	종로구	10	365	326	229	8	347	309	214	2	18	17	15
2016	중구	4	104	101	87	3	95	95	80	1	9	6	7
2016	용산구	6	218	211	150	3	192	187	131	3	26	24	19
2016	성동구	6	418	411	269	3	391	384	246	3	27	27	23
2016	광진구	21	708	627	420	10	609	538	360	11	99	89	60
2016	동대문구	24	493	491	327	5	322	321	212	19	171	170	115
2016	중랑구	42	946	925	587	7	631	615	381	35	315	310	206
2016	성북구	21	665	617	440	14	606	559	396	7	59	58	44
2016	강북구	31	663	648	433	7	450	440	296	24	213	208	137
2016	도봉구	54	993	955	612	13	628	599	371	41	365	356	241
2016	노원구	33	1,061	1,019	655	11	867	835	519	22	194	184	136
2016	은평구	27	1,309	1,156	728	15	1,204	1,058	658	12	105	98	70
2016	서대문구	17	422	411	288	11	376	366	255	6	46	45	33
2016	마포구	6	339	336	241	3	312	310	217	3	27	26	24
2016	양천구	29	692	669	472	11	536	518	358	18	156	151	114
2016	강서구	29	1,073	992	675	16	971	903	606	13	102	89	69
2016	구로구	19	924	833	516	9	837	766	459	10	87	67	57
2016	금천구	21	582	559	382	8	465	442	303	13	117	117	79
2016	영등포구	20	233	233	163	2	81	79	52	18	152	154	111
2016	동작구	12	364	339	228	5	301	276	185	7	63	63	43
2016	관악구	28	576	498	371	8	396	322	233	20	180	176	138
2016	서초구	7	348	336	220	4	322	315	204	3	26	21	16
2016	강남구	8	349	336	234	5	323	310	217	3	26	26	17
2016	송파구	22	601	589	405	7	471	466	314	15	130	123	91
2016	강동구	29	671	612	389	8	486	436	271	21	185	176	118
2017	합계	510	14,305	13,717	9,137	195	11,526	11,052	7,282	315	2,779	2,665	1,855
2017	종로구	10	365	340	242	8	347	331	234	2	18	9	8
2017	중구	4	104	101	82	3	95	92	76	1	9	9	6
2017	용산구	5	223	222	151	4	214	214	145	1	9	8	6
2017	성동구	6	418	412	272	3	391	385	251	3	27	27	21
2017	광진구	18	496	488	301	6	388	385	231	12	108	103	70
2017	동대문구	24	493	493	308	5	322	322	200	19	171	171	108
2017	중랑구	45	971	941	618	7	629	615	397	38	342	326	221
2017	성북구	21	665	646	426	14	606	588	385	7	59	58	41
2017	강북구	32	622	611	389	7	400	396	250	25	222	215	139
2017	도봉구	58	1,087	1,058	696	20	750	732	470	38	337	326	226
2017	노원구	30	1,032	999	648	10	856	838	527	20	176	161	121
2017	은평구	22	952	926	584	13	872	846	533	9	80	80	51
2017	서대문구	17	423	407	299	11	376	361	264	6	47	46	35
2017	마포구	5	330	327	231	3	312	310	217	2	18	17	14
2017	양천구	26	683	659	454	11	554	532	363	15	129	127	91
2017	강서구	32	1,110	1,027	709	17	981	919	622	15	129	108	87
2017	구로구	16	738	671	409	8	669	613	371	8	69	58	38
2017	금천구	22	568	544	381	9	451	429	304	13	117	115	77
2017	영등포구	19	217	209	147	1	65	55	43	18	152	154	104
2017	동작구	10	253	246	165	3	190	189	123	7	63	57	42
2017	관악구	25	549	527	373	8	396	377	258	17	153	150	115
2017	서초구	7	348	330	226	4	322	305	209	3	26	25	17
2017	강남구	9	422	326	231	6	396	300	212	3	26	26	19
2017	송파구	22	646	636	438	7	515	506	344	15	131	130	94
2017	강동구	25	590	571	357	7	429	412	253	18	161	159	104
2018	합계	512	14,869	14,238	9,486	202	11,909	11,622	7,641	310	2,960	2,616	1,845
2018	종로구	11	373	352	257	8	347	339	241	3	26	13	16
2018	중구	4	106	103	79	3	97	94	72	1	9	9	7
2018	용산구	5	216	212	150	4	207	203	144	1	9	9	6
2018	성동구	6	418	414	262	3	391	388	246	3	27	26	16
2018	광진구	19	618	614	382	7	510	510	312	12	108	104	70
2018	동대문구	26	418	413	266	4	224	222	138	22	194	191	128
2018	중랑구	45	971	793	538	7	629	458	311	38	342	335	227
2018	성북구	19	690	664	440	15	657	632	400	4	33	32	40
2018	강북구	33	705	696	449	8	483	480	306	25	222	216	143
2018	도봉구	59	1,183	1,146	769	21	849	825	539	38	334	321	230
2018	노원구	32	1,069	1,034	663	11	884	864	544	21	185	170	119
2018	은평구	23	1,017	1,003	614	14	937	925	562	9	80	78	52
2018	서대문구	18	491	439	308	11	435	384	269	7	56	55	39
2018	마포구	5	330	332	230	3	312	314	216	2	18	18	14
2018	양천구	24	682	662	467	12	579	565	389	12	103	97	78
2018	강서구	29	1,079	1,003	673	16	965	906	604	13	114	97	69
2018	구로구	17	929	878	553	9	860	823	514	8	69	55	39
2018	금천구	23	640	619	442	10	523	503	359	13	117	116	83
2018	영등포구	17	252	248	172	1	118	118	82	16	134	130	90
2018	동작구	10	253	248	164	3	190	187	123	7	63	61	41
2018	관악구	27	572	552	387	9	410	395	269	18	162	157	118
2018	서초구	5	331	329	220	4	322	320	214	1	9	9	6
2018	강남구	8	299	287	214	5	273	261	196	3	26	26	18
2018	송파구	22	657	651	432	7	526	521	339	15	131	130	93
2018	강동구	25	570	546	355	7	181	385	252	18	389	161	103
2019	합계	509	15,176	14,619	9,813	205	12,493	12,053	7,967	304	2,683	2,566	1,846
2019	종로구	10	359	357	261	8	342	340	246	2	17	17	15
2019	중구	3	83	82	68	2	74	73	60	1	9	9	8
2019	용산구	4	203	202	138	3	194	193	131	1	9	9	7
2019	성동구	6	418	408	254	3	391	381	237	3	27	27	17
2019	광진구	20	595	591	371	8	487	484	301	12	108	107	70
2019	동대문구	26	422	389	251	4	224	194	123	22	198	195	128
2019	중랑구	46	1,128	1,027	696	8	786	684	464	38	342	343	232
2019	성북구	21	813	765	507	16	771	724	469	5	42	41	38
2019	강북구	32	716	707	455	8	503	499	318	24	213	208	137
2019	도봉구	56	1,129	1,100	744	21	819	804	529	35	310	296	215
2019	노원구	32	1,069	1,025	664	11	884	862	539	21	185	163	125
2019	은평구	22	1,008	999	631	14	937	937	579	8	71	62	52
2019	서대문구	18	468	439	306	10	403	376	262	8	65	63	44
2019	마포구	4	302	301	214	2	284	284	202	2	18	17	12
2019	양천구	22	732	725	497	13	656	651	439	9	76	74	58
2019	강서구	30	1,103	1,036	666	17	989	940	597	13	114	96	69
2019	구로구	17	930	875	555	9	864	818	516	8	66	57	39
2019	금천구	24	661	642	463	11	544	528	382	13	117	114	81
2019	영등포구	18	260	255	193	1	118	118	85	17	142	137	108
2019	동작구	10	253	251	164	3	190	188	122	7	63	63	42
2019	관악구	29	606	572	421	10	435	418	296	19	171	154	125
2019	서초구	5	331	321	223	4	322	312	217	1	9	9	6
2019	강남구	6	233	228	169	4	215	211	155	2	18	17	14
2019	송파구	23	787	772	529	8	656	641	434	15	131	131	95
2019	강동구	25	567	550	373	7	405	393	264	18	162	157	109
